Problem Size,Direct,Vector,Indirect
8388608,0,17.65683726,0.2441394026
16777216,0,17.68077429,0.220836788
33554432,0,17.79974741,0.2131827973
67108864,0,17.60253552,0.207082359
134217728,0,17.28171773,0.2064719571
268435456,0,15.55284041,0.1540312339
