Sum indirect,,,,
N,Time,MFLOP/s,% of memory bandwidth utilized,Avg memory latency
8388608,0.5368736,15.62492177,0.2441394026,0.00000006400032043
16777216,1.1870486,14.13355443,0.220836788,0.00000007075361013
33554432,2.4593354,13.64369903,0.2131827973,0.00000007329390645
67108864,5.0635699,13.25327098,0.207082359,0.0000000754530713
134217728,10.1570791,13.21420525,0.2064719571,0.00000007567613646
268435456,27.2302175,9.857998968,0.1540312339,0.0000001014404651
